title,date,issues1,issues2,issues3,signatures
Repeal the Hughes Amendment and allow the production of new machine guns for civilian ownership,"July 31, 2019",Civil Rights & Equality,Government & Regulatory Reform,Homeland Security & Defense,1526
Make Hong Kong the 51st state,"August 14, 2019",Economy & Jobs,Foreign Policy,Government & Regulatory Reform,1500
1 in 16 Americans will be diagnosed with lung cancer & only 6% of federal research dollars used on lung cancer research,"July 20, 2019",Education,Health Care,Veterans & Military,1460
Petition to allow National Park Service Rangers to volunteer for Emergency Service Agencies,"August 02, 2019",Energy & Environment,Government & Regulatory Reform,Rural Policy,1105
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","July 25, 2019",Civil Rights & Equality,Foreign Policy,Gun Violence,836
Order Marines to rescue the child sex slaves under the Getty Center in LA. #10,"July 22, 2019",Civil Rights & Equality,Criminal Justice Reform,Homeland Security & Defense,787
Restore Hong Kong's autonomy. Make Hong Kong great again!,"July 23, 2019",Civil Rights & Equality,Foreign Policy,NA,716
American's Freedom of Speech is damaged by People's Republic of China from WeChat messenger in USA.,"August 11, 2019",Civil Rights & Equality,Foreign Policy,Homeland Security & Defense,603
President Trump: direct HHS Office of Conscience to make protecting the universal right of Informed Consent a priority.,"July 29, 2019",Civil Rights & Equality,Government & Regulatory Reform,Health Care,589
"Chinese students violently treat dissidents,ask the federal government to cancel Chinese students' US visas and refuse C","July 30, 2019",Civil Rights & Equality,Foreign Policy,Homeland Security & Defense,510
"Prosecute the persons & organizations involving violence attack on 21JUL in HK are terrorism, by U.S.C. 2656f .","July 25, 2019",Civil Rights & Equality,Foreign Policy,Gun Violence,487
"We The People of These United States of America Oppose Any and All Red Flag Gun Laws, Mr. President .","August 06, 2019",Civil Rights & Equality,Government & Regulatory Reform,Gun Violence,474
"We the people ask the government to STOP voting frauds, Proof of Citizenships should be required for voting.","July 19, 2019",Government & Regulatory Reform,Health Care,Immigration,448
"Investigation on Kim Foxx
Look into r Kelly 
This is a extortion he is innocent","July 16, 2019",Civil Rights & Equality,Criminal Justice Reform,NA,408
"A Petition that Donald J. Trump, President of the United States: Pardon Julian Assange",NA,Civil Rights & Equality,NA,NA,377
Designate Govt of HK-Special Administrative Region as Foreign Terrorist Organizations and penalized its officials,"July 22, 2019",Civil Rights & Equality,Foreign Policy,Immigration,372
"We ask for resignation or residency for the governor of Puerto Rico, Ricardo Rosselló.","July 18, 2019",Civil Rights & Equality,Criminal Justice Reform,Government & Regulatory Reform,329
Publicly endorse the Gavin Newsom recall campaign via Twitter,"July 31, 2019",Civil Rights & Equality,Government & Regulatory Reform,Immigration,328
US government urges United Nations to inspect the safety of the Three Gorges Dam in China,"July 15, 2019",Energy & Environment,Foreign Policy,Homeland Security & Defense,283
"The President of the United States to defend our Iron Clad Constitutional Provisions, Rights & Liberties","August 10, 2019",Civil Rights & Equality,Government & Regulatory Reform,Gun Violence,265
Declare mass shootings fueled by white supremacy a national emergency.,"August 05, 2019",Gun Violence,NA,NA,261
"Ask the federal government,give a definition as ""The Hong Kong  Genocide"",Hong Kong Police Force attack people","July 27, 2019",Criminal Justice Reform,Foreign Policy,NA,254
Call on the US government to mediate the Hong Kong crisis,"August 14, 2019",Foreign Policy,Gun Violence,Homeland Security & Defense,228
English Ver : Trump is too talented! Please accept Freedom-Hi from Hong Kong!,"July 17, 2019",Civil Rights & Equality,Foreign Policy,Immigration,219
"WE, the People ask the US President to propose to the Congress to amend the treaty with Bulgaria for 8 pcs F-16, bl-70","July 20, 2019",Foreign Policy,NA,NA,217
Demand the  resignation and indictment    of  Puerto Rico Gov. Ricardo Rosselló,"July 17, 2019",Civil Rights & Equality,Criminal Justice Reform,Government & Regulatory Reform,217
Hillary Clinton’s Body counts is well overdue for prison sentence,"July 23, 2019",Budget & Taxes,Civil Rights & Equality,Criminal Justice Reform,217
Stand Against Red Flag Laws,"August 05, 2019",Civil Rights & Equality,Gun Violence,Homeland Security & Defense,215
Nullify all Votes that Apply to Federal Elections in any State that Allows Voting by non-US Citizens.,"July 23, 2019",Civil Rights & Equality,Government & Regulatory Reform,Immigration,214
"Lyme disease now a national epidemic.  Please provide funding, and resources, at the level required to resolve promptly.","July 23, 2019",Health Care,Homeland Security & Defense,Technology & Innovation,214
PARDON KEVIN (KC) MASSEY WE ARE ASKING Donald J Trump Pardon Mr. Massey HE WAS UNLAWFULLY CHARGED guarding the Border!!,"July 25, 2019",Civil Rights & Equality,Veterans & Military,NA,208
Save Oceano Dunes (Pismo Dunes) We must Stand Together & Stand Strong. Let Our Voices be heard!,"July 16, 2019",Economy & Jobs,Energy & Environment,Veterans & Military,197
中文版訴求 : Trump is too talented! Please accept Freedom-Hi from Hong Kong!特朗普太有才了!請接收來自香港的自由西吧!,"July 17, 2019",Civil Rights & Equality,Foreign Policy,Immigration,193
"Establish the 15th day of August of every year as Ermias Asghedom Day which would also be known as ""Nipsey Hussle Day""","July 25, 2019",Civil Rights & Equality,Education,Innovation: Arts & Technology,186
Help give new moms a chance to work from home so there is never a need to choose between family and finances.,"August 04, 2019",Economy & Jobs,NA,NA,180
We hope U.S. Federal Agencies can process student visa with a clear timeline and support international students.,"July 26, 2019",Civil Rights & Equality,Education,Immigration,171
Fire Angel Hernandez,"July 30, 2019",Criminal Justice Reform,Energy & Environment,Urban Policy,154
